DEBUG: CURRENT=09:49, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:49, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:50, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:50, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:51, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:51, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:52, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:52, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:53, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:53, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:54, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:54, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:55, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:55, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:56, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:56, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:57, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:57, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:58, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:58, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:59, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:59, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:00, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:00, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:01, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:01, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:02, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:02, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:03, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:03, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:04, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:04, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:05, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:05, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:06, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:06, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:07, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:07, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:08, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:08, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:09, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:09, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:10, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:10, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:11, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:11, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:12, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:12, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:13, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:13, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:14, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:14, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:15, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:15, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:16, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:16, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:17, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:17, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:18, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:18, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:19, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:19, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:20, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:20, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:21, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:21, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:22, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:22, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:23, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:23, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:24, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:24, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:25, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:25, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:26, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:26, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:27, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:27, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:28, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:28, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:29, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:29, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:30, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:30, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:31, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:31, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:32, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:32, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:33, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:33, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:34, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:34, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:35, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:35, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:36, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:36, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:37, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:37, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:38, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:38, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:39, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:39, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:40, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:40, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:41, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:41, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:42, START_TIME=9:00, STOP_TIME=17:00
